"source_section","endpoint","specification","display_group","omitted_year","estimate","lower","upper","notes"
"time_form_and_leave_one_year","system-specific conditional UCD fraction BR/US RR","leave_one_year_omit_2020","leave_one_year",2020,1.41418194475119,1.28939086108707,1.5510506807642,"quasibinomial model-conditional pointwise delta interval"
"time_form_and_leave_one_year","system-specific conditional UCD fraction BR/US RR","leave_one_year_omit_2021","leave_one_year",2021,1.42389228004859,1.3054698341268,1.55305712332916,"quasibinomial model-conditional pointwise delta interval"
"time_form_and_leave_one_year","system-specific conditional UCD fraction BR/US RR","leave_one_year_omit_2022","leave_one_year",2022,1.45258532623247,1.33001739384396,1.58644852296828,"quasibinomial model-conditional pointwise delta interval"
"time_form_and_leave_one_year","system-specific conditional UCD fraction BR/US RR","leave_one_year_omit_2023","leave_one_year",2023,1.43697526288565,1.31646413712215,1.5685181600611,"quasibinomial model-conditional pointwise delta interval"
"time_form_and_leave_one_year","system-specific conditional UCD fraction BR/US RR","leave_one_year_omit_2024_exclude_2024","leave_one_year_and_exclude_2024",2024,1.42384512139433,1.30017438197833,1.55927924578368,"quasibinomial model-conditional pointwise delta interval"
"Table_S5_target_sensitivity","any_common/UCD RRR","sex_female","target",,0.816730290224214,0.807003688238376,0.826574124370907,"WHO18 age; female only; years equal"
"Table_S5_target_sensitivity","any_common/UCD RRR","sex_male","target",,0.818223429732789,0.80788986631073,0.82868916777103,"WHO18 age; male only; years equal"
"Table_S5_target_sensitivity","any_common/UCD RRR","population_weighted_years","target",,0.815733548184916,0.80848361029953,0.823048498642817,"WHO18 age; sex 0.5/0.5; year weights proportional to combined BR+US analytic population"
"Table_S5_target_sensitivity","any_common/UCD RRR","recent_3_years_equal","target",,0.781710060941948,0.768605854877675,0.795037684789843,"WHO18 age; sex 0.5/0.5; stated year target"
"Table_S5_target_sensitivity","any_common/UCD RRR","year_2024","target",,0.770717454082082,0.747016908002253,0.795169945504064,"WHO18 age; sex 0.5/0.5; stated year target"
"Table_S6_model_bootstrap_sensitivity","any_common/UCD RRR","primary_stacked_poisson_hc1","model_bootstrap",,0.816338396836335,0.809051900990996,0.823690516434167,"936 original strata"
"Table_S6_model_bootstrap_sensitivity","any_common/UCD RRR","flexible_country_representation_age_sex","model_bootstrap",,0.815183171315097,0.808068275641233,0.822360712364328,"country x representation x age x sex"
"Table_S6_model_bootstrap_sensitivity","any_common/UCD RRR","cluster_multiplier_bootstrap","model_bootstrap",,0.816338396836335,0.809313512942623,0.823155786520379,"2000/2000 successful draws; shared stratum multiplier"
