country,year,age_group,sex,population,ucd,any_common,alternative
BR,2012,0-4,F,7153216,8,17,17
BR,2012,0-4,M,7492554,12,20,20
BR,2012,10-14,F,8285050,3,5,5
BR,2012,10-14,M,8541075,1,5,5
BR,2012,15-19,F,8589660,5,10,10
BR,2012,15-19,M,8639928,3,11,11
BR,2012,20-24,F,8531695,16,22,22
BR,2012,20-24,M,8441064,4,11,11
BR,2012,25-29,F,8792496,27,40,40
BR,2012,25-29,M,8575592,10,18,18
BR,2012,30-34,F,8544808,42,63,63
BR,2012,30-34,M,8199033,22,40,40
BR,2012,35-39,F,7470921,51,84,84
BR,2012,35-39,M,7099826,25,54,54
BR,2012,40-44,F,6855954,75,120,120
BR,2012,40-44,M,6421655,59,105,105
BR,2012,45-49,F,6462955,94,187,187
BR,2012,45-49,M,5948125,73,148,148
BR,2012,5-9,F,7569606,1,1,1
BR,2012,5-9,M,7921789,0,3,3
BR,2012,50-54,F,5695367,137,255,255
BR,2012,50-54,M,5184257,88,189,189
BR,2012,55-59,F,4730221,148,308,308
BR,2012,55-59,M,4250290,138,274,274
BR,2012,60-64,F,3745698,207,383,383
BR,2012,60-64,M,3312928,169,316,316
BR,2012,65-69,F,2818255,271,461,461
BR,2012,65-69,M,2425459,188,373,373
BR,2012,70-74,F,2176358,302,536,536
BR,2012,70-74,M,1760793,251,456,456
BR,2012,75-79,F,1628848,396,652,652
BR,2012,75-79,M,1200455,253,466,466
BR,2012,80-84,F,1080514,451,698,698
BR,2012,80-84,M,712708,266,442,442
BR,2012,85+,F,895787,626,964,964
BR,2012,85+,M,515680,343,503,503
BR,2013,0-4,F,7121178,3,18,18
BR,2013,0-4,M,7463884,10,23,23
BR,2013,10-14,F,8138707,1,4,4
BR,2013,10-14,M,8426065,1,3,3
BR,2013,15-19,F,8561467,4,11,11
BR,2013,15-19,M,8644694,10,16,16
BR,2013,20-24,F,8488814,8,22,22
BR,2013,20-24,M,8412732,5,11,11
BR,2013,25-29,F,8724932,24,48,48
BR,2013,25-29,M,8524675,14,25,25
BR,2013,30-34,F,8648899,49,71,71
BR,2013,30-34,M,8310811,28,47,47
BR,2013,35-39,F,7660500,49,87,87
BR,2013,35-39,M,7282908,26,48,48
BR,2013,40-44,F,6928918,69,113,113
BR,2013,40-44,M,6497525,57,103,103
BR,2013,45-49,F,6540506,112,183,183
BR,2013,45-49,M,6021673,70,135,135
BR,2013,5-9,F,7454699,2,4,4
BR,2013,5-9,M,7805624,1,4,4
BR,2013,50-54,F,5850019,121,247,247
BR,2013,50-54,M,5313955,92,175,175
BR,2013,55-59,F,4896250,189,342,342
BR,2013,55-59,M,4391704,150,309,309
BR,2013,60-64,F,3903087,214,396,396
BR,2013,60-64,M,3437752,188,371,371
BR,2013,65-69,F,2951155,284,506,506
BR,2013,65-69,M,2536782,193,367,367
BR,2013,70-74,F,2228456,378,606,606
BR,2013,70-74,M,1804579,241,448,448
BR,2013,75-79,F,1687030,384,627,627
BR,2013,75-79,M,1248516,309,496,496
BR,2013,80-84,F,1112004,421,659,659
BR,2013,80-84,M,732403,298,442,442
BR,2013,85+,F,937332,663,1031,1031
BR,2013,85+,M,536467,325,483,483
BR,2014,0-4,F,7115554,6,18,18
BR,2014,0-4,M,7461659,8,21,21
BR,2014,10-14,F,7978298,2,3,3
BR,2014,10-14,M,8293387,2,4,4
BR,2014,15-19,F,8523697,8,13,13
BR,2014,15-19,M,8643609,6,7,7
BR,2014,20-24,F,8471662,19,38,38
BR,2014,20-24,M,8409991,8,17,17
BR,2014,25-29,F,8633807,20,41,41
BR,2014,25-29,M,8450017,10,23,23
BR,2014,30-34,F,8708662,43,60,60
BR,2014,30-34,M,8384967,13,35,35
BR,2014,35-39,F,7877867,42,83,83
BR,2014,35-39,M,7491084,37,64,64
BR,2014,40-44,F,7011991,82,116,116
BR,2014,40-44,M,6583218,43,85,85
BR,2014,45-49,F,6600591,109,192,192
BR,2014,45-49,M,6083062,79,146,146
BR,2014,5-9,F,7355032,1,1,1
BR,2014,5-9,M,7702044,0,1,1
BR,2014,50-54,F,5998567,149,245,245
BR,2014,50-54,M,5439538,100,201,201
BR,2014,55-59,F,5061785,205,361,361
BR,2014,55-59,M,4532346,154,317,317
BR,2014,60-64,F,4063093,218,398,398
BR,2014,60-64,M,3565197,180,362,362
BR,2014,65-69,F,3091959,316,531,531
BR,2014,65-69,M,2652529,234,422,422
BR,2014,70-74,F,2291556,323,541,541
BR,2014,70-74,M,1857771,273,454,454
BR,2014,75-79,F,1743986,372,678,678
BR,2014,75-79,M,1295242,320,519,519
BR,2014,80-84,F,1146515,412,640,640
BR,2014,80-84,M,755472,313,483,483
BR,2014,85+,F,978399,699,1059,1059
BR,2014,85+,M,556977,348,521,521
BR,2015,0-4,F,7164367,4,16,16
BR,2015,0-4,M,7515065,10,30,30
BR,2015,10-14,F,7821067,4,8,8
BR,2015,10-14,M,8160183,0,2,2
BR,2015,15-19,F,8463413,10,19,19
BR,2015,15-19,M,8620023,0,4,4
BR,2015,20-24,F,8465532,18,29,29
BR,2015,20-24,M,8418677,10,14,14
BR,2015,25-29,F,8530001,26,36,36
BR,2015,25-29,M,8361597,22,30,30
BR,2015,30-34,F,8725993,34,62,62
BR,2015,30-34,M,8420722,26,53,53
BR,2015,35-39,F,8100207,55,91,91
BR,2015,35-39,M,7703994,38,71,71
BR,2015,40-44,F,7111549,67,117,117
BR,2015,40-44,M,6684388,66,112,112
BR,2015,45-49,F,6651191,109,192,192
BR,2015,45-49,M,6138395,71,139,139
BR,2015,5-9,F,7249887,0,0,0
BR,2015,5-9,M,7591156,0,2,2
BR,2015,50-54,F,6135162,131,259,259
BR,2015,50-54,M,5556950,116,222,222
BR,2015,55-59,F,5225990,192,337,337
BR,2015,55-59,M,4670515,156,288,288
BR,2015,60-64,F,4225128,256,429,429
BR,2015,60-64,M,3695467,187,363,363
BR,2015,65-69,F,3235883,291,507,507
BR,2015,65-69,M,2768071,237,421,421
BR,2015,70-74,F,2370932,317,523,523
BR,2015,70-74,M,1924382,290,506,506
BR,2015,75-79,F,1797276,422,685,685
BR,2015,75-79,M,1338548,319,510,510
BR,2015,80-84,F,1184417,457,684,684
BR,2015,80-84,M,782635,273,424,424
BR,2015,85+,F,1018282,799,1164,1164
BR,2015,85+,M,576597,376,552,552
BR,2016,0-4,F,7176661,8,20,20
BR,2016,0-4,M,7528358,7,30,30
BR,2016,10-14,F,7692918,1,1,1
BR,2016,10-14,M,8042608,0,1,1
BR,2016,15-19,F,8368049,5,5,5
BR,2016,15-19,M,8560703,6,8,8
BR,2016,20-24,F,8455573,21,37,37
BR,2016,20-24,M,8425652,10,17,17
BR,2016,25-29,F,8432108,25,50,50
BR,2016,25-29,M,8276979,16,25,25
BR,2016,30-34,F,8708705,34,61,61
BR,2016,30-34,M,8422136,26,50,50
BR,2016,35-39,F,8298088,61,88,88
BR,2016,35-39,M,7895670,32,58,58
BR,2016,40-44,F,7235995,85,134,134
BR,2016,40-44,M,6808566,57,102,102
BR,2016,45-49,F,6703547,100,185,185
BR,2016,45-49,M,6196500,88,167,167
BR,2016,5-9,F,7159600,1,2,2
BR,2016,5-9,M,7502714,1,1,1
BR,2016,50-54,F,6252737,138,255,255
BR,2016,50-54,M,5661175,114,203,203
BR,2016,55-59,F,5389174,181,345,345
BR,2016,55-59,M,4806321,163,296,296
BR,2016,60-64,F,4387869,252,444,444
BR,2016,60-64,M,3828330,234,445,445
BR,2016,65-69,F,3381751,281,537,537
BR,2016,65-69,M,2882026,265,503,503
BR,2016,70-74,F,2468444,325,571,571
BR,2016,70-74,M,2005387,300,513,513
BR,2016,75-79,F,1845388,393,664,664
BR,2016,75-79,M,1377290,299,479,479
BR,2016,80-84,F,1226953,451,704,704
BR,2016,80-84,M,814825,293,447,447
BR,2016,85+,F,1057444,776,1155,1155
BR,2016,85+,M,595681,391,560,560
BR,2017,0-4,F,7148689,12,23,23
BR,2017,0-4,M,7498483,14,32,32
BR,2017,10-14,F,7561632,3,4,4
BR,2017,10-14,M,7914826,1,2,2
BR,2017,15-19,F,8241877,7,9,9
BR,2017,15-19,M,8468595,5,8,8
BR,2017,20-24,F,8428840,15,22,22
BR,2017,20-24,M,8420617,10,16,16
BR,2017,25-29,F,8352359,19,41,41
BR,2017,25-29,M,8209257,11,22,22
BR,2017,30-34,F,8663729,48,75,75
BR,2017,30-34,M,8394253,30,49,49
BR,2017,35-39,F,8450130,58,91,91
BR,2017,35-39,M,8047502,43,70,70
BR,2017,40-44,F,7389449,69,136,136
BR,2017,40-44,M,6959431,42,92,92
BR,2017,45-49,F,6766366,105,189,189
BR,2017,45-49,M,6264462,74,154,154
BR,2017,5-9,F,7117371,1,1,1
BR,2017,5-9,M,7464194,2,2,2
BR,2017,50-54,F,6348409,143,290,290
BR,2017,50-54,M,5749790,94,213,213
BR,2017,55-59,F,5549971,168,340,340
BR,2017,55-59,M,4939435,155,311,311
BR,2017,60-64,F,4550391,260,470,470
BR,2017,60-64,M,3962951,206,415,415
BR,2017,65-69,F,3530408,312,567,567
BR,2017,65-69,M,2995964,262,504,504
BR,2017,70-74,F,2581799,355,611,611
BR,2017,70-74,M,2098178,310,512,512
BR,2017,75-79,F,1890520,450,743,743
BR,2017,75-79,M,1413441,338,579,579
BR,2017,80-84,F,1274209,465,723,723
BR,2017,80-84,M,851416,325,499,499
BR,2017,85+,F,1097587,820,1177,1177
BR,2017,85+,M,615026,447,597,597
BR,2018,0-4,F,7143597,8,22,22
BR,2018,0-4,M,7492920,16,38,38
BR,2018,10-14,F,7447052,2,3,3
BR,2018,10-14,M,7799222,4,4,4
BR,2018,15-19,F,8091938,12,15,15
BR,2018,15-19,M,8350778,4,9,9
BR,2018,20-24,F,8384816,25,35,35
BR,2018,20-24,M,8404960,7,13,13
BR,2018,25-29,F,8295079,21,35,35
BR,2018,25-29,M,8162951,13,23,23
BR,2018,30-34,F,8588455,38,55,55
BR,2018,30-34,M,8334848,21,37,37
BR,2018,35-39,F,8550108,50,85,85
BR,2018,35-39,M,8154840,34,69,69
BR,2018,40-44,F,7576354,66,123,123
BR,2018,40-44,M,7140283,52,94,94
BR,2018,45-49,F,6839156,94,181,181
BR,2018,45-49,M,6341828,76,132,132
BR,2018,5-9,F,7084208,1,1,1
BR,2018,5-9,M,7433861,0,0,0
BR,2018,50-54,F,6426200,157,282,282
BR,2018,50-54,M,5824734,125,216,216
BR,2018,55-59,F,5703333,201,364,364
BR,2018,55-59,M,5067999,168,320,320
BR,2018,60-64,F,4712567,260,464,464
BR,2018,60-64,M,4098554,208,412,412
BR,2018,65-69,F,3681482,327,563,563
BR,2018,65-69,M,3110989,276,505,505
BR,2018,70-74,F,2707514,365,653,653
BR,2018,70-74,M,2199247,315,561,561
BR,2018,75-79,F,1938389,404,661,661
BR,2018,75-79,M,1451821,347,583,583
BR,2018,80-84,F,1323721,448,720,720
BR,2018,80-84,M,890120,359,555,555
BR,2018,85+,F,1139514,870,1223,1223
BR,2018,85+,M,635600,477,675,675
BR,2019,0-4,F,7111933,9,25,25
BR,2019,0-4,M,7458700,9,31,31
BR,2019,10-14,F,7348051,1,3,3
BR,2019,10-14,M,7696334,3,5,5
BR,2019,15-19,F,7936624,7,12,12
BR,2019,15-19,M,8225283,8,8,8
BR,2019,20-24,F,8347000,12,23,23
BR,2019,20-24,M,8400832,7,16,16
BR,2019,25-29,F,8272246,29,39,39
BR,2019,25-29,M,8150148,18,33,33
BR,2019,30-34,F,8493968,36,59,59
BR,2019,30-34,M,8255517,27,40,40
BR,2019,35-39,F,8608339,74,109,109
BR,2019,35-39,M,8227095,41,91,91
BR,2019,40-44,F,7792313,95,145,145
BR,2019,40-44,M,7347141,55,95,95
BR,2019,45-49,F,6922507,111,199,199
BR,2019,45-49,M,6429381,76,143,143
BR,2019,5-9,F,7077260,0,0,0
BR,2019,5-9,M,7429405,3,5,5
BR,2019,50-54,F,6487200,146,258,258
BR,2019,50-54,M,5888136,131,254,254
BR,2019,55-59,F,5850910,205,389,389
BR,2019,55-59,M,5193015,172,334,334
BR,2019,60-64,F,4874532,272,498,498
BR,2019,60-64,M,4234251,221,426,426
BR,2019,65-69,F,3834603,301,590,590
BR,2019,65-69,M,3228543,259,510,510
BR,2019,70-74,F,2840115,367,651,651
BR,2019,70-74,M,2303522,316,564,564
BR,2019,75-79,F,1996507,451,710,710
BR,2019,75-79,M,1498484,404,652,652
BR,2019,80-84,F,1371868,472,738,738
BR,2019,80-84,M,927586,332,535,535
BR,2019,85+,F,1182889,940,1330,1330
BR,2019,85+,M,657861,483,690,690
BR,2020,0-4,F,7004496,8,20,20
BR,2020,0-4,M,7344834,11,19,19
BR,2020,10-14,F,7243924,1,2,2
BR,2020,10-14,M,7586218,0,1,1
BR,2020,15-19,F,7788905,3,11,11
BR,2020,15-19,M,8104148,4,6,6
