contrast,estimate,bootstrap_median,lower,upper,n_boot,n_success,n_fail
BR_US_RR_ucd,2.97306462323847,2.97229150052255,2.92649138519649,3.01756267244613,2000,2000,0
BR_US_RR_any_common,2.42702680822531,2.42638290536443,2.39679352604261,2.45824805022912,2000,2000,0
BR_US_RR_alternative,2.4612728728716,2.4605659467787,2.43059171493445,2.49248916273701,2000,2000,0
RRR_any_common_vs_ucd,0.816338396836335,0.816313826454525,0.809313512942623,0.823155786520379,2000,2000,0
RRR_alternative_vs_any_common,1.01411029516865,1.01410253929293,1.01331467442921,1.01496324392389,2000,2000,0
