country,year,sex,endpoint,deaths,person_years,asr,lower,upper,interval
US,2012,Both,ucd,4491,313877662,0.756728473612105,0.733381770519905,0.780818402902701,95% Poisson counting log interval
US,2012,Both,any_common,8598,313877662,1.52561782483964,1.49159025294759,1.56042166598297,95% Poisson counting log interval
US,2013,Both,ucd,4590,316059947,0.75758392731777,0.734546162632993,0.781344231481574,95% Poisson counting log interval
US,2013,Both,any_common,8821,316059947,1.52576847895094,1.49220358464585,1.56008836549791,95% Poisson counting log interval
US,2014,Both,ucd,4808,318386329,0.782916369288704,0.759632116143915,0.806914331652717,95% Poisson counting log interval
US,2014,Both,any_common,9008,318386329,1.54363099091493,1.5100371853994,1.57797215800535,95% Poisson counting log interval
US,2015,Both,ucd,5078,320738994,0.806020555402256,0.782680198974643,0.830056946096332,95% Poisson counting log interval
US,2015,Both,any_common,9485,320738994,1.58496176480482,1.5513229830891,1.61932996756804,95% Poisson counting log interval
US,2016,Both,ucd,5206,323071755,0.807023719389949,0.783823786149278,0.830910333631991,95% Poisson counting log interval
US,2016,Both,any_common,9897,323071755,1.62777755078624,1.59390585087264,1.66236904983628,95% Poisson counting log interval
US,2017,Both,ucd,5227,325122128,0.798766963414219,0.775998937628018,0.822203009442542,95% Poisson counting log interval
US,2017,Both,any_common,10126,325122128,1.63570914924202,1.60206543139028,1.67005939238836,95% Poisson counting log interval
US,2018,Both,ucd,5273,326838199,0.778639933737797,0.756530668570115,0.801395332137829,95% Poisson counting log interval
US,2018,Both,any_common,10333,326838199,1.63145682382648,1.59820986237244,1.66539540937318,95% Poisson counting log interval
US,2019,Both,ucd,5358,328329953,0.781764209228497,0.759747839403709,0.804418580920645,95% Poisson counting log interval
US,2019,Both,any_common,10642,328329953,1.64664398694669,1.6135502777457,1.68041644387795,95% Poisson counting log interval
US,2020,Both,ucd,5594,329484123,0.817770281197618,0.795175207014874,0.841007399263042,95% Poisson counting log interval
US,2020,Both,any_common,11591,329484123,1.78895840226803,1.75443999849531,1.82415595163708,95% Poisson counting log interval
US,2021,Both,ucd,6218,332099760,0.919119812383367,0.895354305025278,0.943516130736408,95% Poisson counting log interval
US,2021,Both,any_common,12764,332099760,1.9900635302245,1.95388954527694,2.02690723429214,95% Poisson counting log interval
US,2022,Both,ucd,6222,334017321,0.907632775354356,0.884054937732688,0.931839436370575,95% Poisson counting log interval
US,2022,Both,any_common,13209,334017321,2.04503142423656,2.00826388139954,2.0824721117827,95% Poisson counting log interval
US,2023,Both,ucd,6252,336806231,0.875500994328244,0.852871960502228,0.898730438527227,95% Poisson counting log interval
US,2023,Both,any_common,13233,336806231,1.96437437796789,1.92907535390834,2.00031931826758,95% Poisson counting log interval
US,2024,Both,ucd,6351,340110988,0.873023915217859,0.850420734628948,0.896227861700557,95% Poisson counting log interval
US,2024,Both,any_common,13742,340110988,2.00940535223788,1.97364894679987,2.04580955298514,95% Poisson counting log interval
BR,2012,Both,ucd,4765,197670620,2.415966088718,2.34729006881663,2.48665140255887,95% Poisson counting log interval
BR,2012,Both,any_common,8240,197670620,4.2041804314505,4.11307543351949,4.297303413438,95% Poisson counting log interval
BR,2013,Both,ucd,4993,199226702,2.4555597682008,2.38734637579749,2.52572221456223,95% Poisson counting log interval
BR,2013,Both,any_common,8481,199226702,4.1860646374167,4.09663013852851,4.27745160194637,95% Poisson counting log interval
BR,2014,Both,ucd,5154,200811131,2.46107078090621,2.39374254906508,2.53029273803733,95% Poisson counting log interval
BR,2014,Both,any_common,8700,200811131,4.16841206244999,4.08045677305701,4.25826325060198,95% Poisson counting log interval
BR,2015,Both,ucd,5389,202403642,2.47120968589614,2.40503486095003,2.53920531915058,95% Poisson counting log interval
BR,2015,Both,any_common,8901,202403642,4.11103179435952,4.02521805659745,4.19867499762761,95% Poisson counting log interval
BR,2016,Both,ucd,5440,203871925,2.42794143294638,2.36324565010327,2.49440831576696,95% Poisson counting log interval
BR,2016,Both,any_common,9163,203871925,4.10953596996911,4.02500468449397,4.19584254237785,95% Poisson counting log interval
BR,2017,Both,ucd,5679,205211557,2.4563815453353,2.39226918415824,2.52221210565272,95% Poisson counting log interval
BR,2017,Both,any_common,9589,205211557,4.1746353785154,4.09066843742427,4.2603258636444,95% Poisson counting log interval
BR,2018,Both,ucd,5851,206529038,2.45458212476522,2.39142839197057,2.51940364488701,95% Poisson counting log interval
BR,2018,Both,any_common,9731,206529038,4.11457318257375,4.03237025500469,4.19845187920011,95% Poisson counting log interval
BR,2019,Both,ucd,6093,207900099,2.46681968845166,2.40457352476516,2.5306771918846,95% Poisson counting log interval
BR,2019,Both,any_common,10210,207900099,4.17287208180922,4.09142058374983,4.25594510627988,95% Poisson counting log interval
BR,2020,Both,ucd,5579,209164889,2.20702377690234,2.14887983377298,2.2667409667389,95% Poisson counting log interval
BR,2020,Both,any_common,9790,209164889,3.89891990674198,3.82125671066156,3.97816152910519,95% Poisson counting log interval
BR,2021,Both,ucd,6111,210103642,2.34571239892119,2.28656223948431,2.40639269005577,95% Poisson counting log interval
BR,2021,Both,any_common,10692,210103642,4.15594277168622,4.07664222444678,4.23678590629199,95% Poisson counting log interval
BR,2022,Both,ucd,6578,210862983,2.47293617211272,2.41280407369989,2.53456688754918,95% Poisson counting log interval
BR,2022,Both,any_common,11489,210862983,4.35893687760887,4.27861316887155,4.44076852780541,95% Poisson counting log interval
BR,2023,Both,ucd,7106,211695158,2.60318244568802,2.54221284932045,2.66561426882476,95% Poisson counting log interval
BR,2023,Both,any_common,12339,211695158,4.55661422787677,4.47552392794085,4.63917377182738,95% Poisson counting log interval
BR,2024,Both,ucd,7383,212583750,2.59653797514363,2.53678029125532,2.65770334135903,95% Poisson counting log interval
BR,2024,Both,any_common,12873,212583750,4.58977175427341,4.50969196737147,4.67127353902281,95% Poisson counting log interval
