analysis,us_conditional_ucd_fraction,br_conditional_ucd_fraction,risk_difference_br_minus_us,rd_lower,rd_upper,risk_ratio_br_over_us,rr_lower,rr_upper,n_fit,n_zero_trials_excluded
full_grid_primary,0.367551229413846,0.527255407194976,0.15970417778113,0.125263131222328,0.194145224339933,1.43450862084129,1.31645899295308,1.56314400545959,906,30
common_positive_trial_support,0.36907681479524,0.541837208254203,0.172760393458962,0.146855946030816,0.198664840887108,1.46808790618508,1.37828640221181,1.56374037850783,880,30
age_20plus,0.393876904989189,0.557234382527069,0.16335747753788,0.147008878660028,0.179706076415732,1.41474246260355,1.36165805522859,1.4698963721531,728,30
