country,representation,rate,rate_lower,rate_upper,se_log
US,ucd,0.822053065529841,0.812810574979637,0.831400652684593,0.00576880728719453
US,any_common,1.7350632276458,1.7189334500622,1.75134436055086,0.00476522646086814
US,alternative,1.71092161859698,1.6950655871258,1.72692597101569,0.00475038215269744
BR,ucd,2.4440168875515,2.41800909638652,2.47030441513365,0.00545838620082923
BR,any_common,4.21104496746231,4.17279742260606,4.24964308641535,0.00465518982098228
BR,alternative,4.21104496746232,4.17279742260665,4.24964308641477,0.00465518982091106
