source_id,agency,version,official_url,access_date,local_path,local_size_bytes,local_sha256,remote_size_bytes,remote_sha256,local_remote_exact
US_CENSUS_INTERCENSAL_2000_2010,US Census Bureau,"2000-2010 intercensal national age-sex table, July estimates",http[local file not redistributed],2026-08-23,[local file not redistributed],20664,a02599683a17bd155f4cd4a34609e75990975a3bfff05c07fa1e8526b69911be,20664,a02599683a17bd155f4cd4a34609e75990975a3bfff05c07fa1e8526b69911be,True
US_CENSUS_2010_2020,US Census Bureau,2010-2020 national resident population estimates by age and sex,http[local file not redistributed],2026-08-23,[local file not redistributed],32782,03d7376535ae0e15233f40758e84f7692e2669452f7d2da71968eb4a3269e30b,32782,03d7376535ae0e15233f40758e84f7692e2669452f7d2da71968eb4a3269e30b,True
US_CENSUS_2020_2024,US Census Bureau,2020-2024 national resident population estimates by age and sex,http[local file not redistributed],2026-08-23,[local file not redistributed],16171,fbb151e8ae8554283dcbf192e6b420658ea444ee7d8849988aa1d5615183edf1,16171,fbb151e8ae8554283dcbf192e6b420658ea444ee7d8849988aa1d5615183edf1,True
BR_IBGE_PROJECTION_2024,Instituto Brasileiro de Geografia e Estatistica (IBGE),"Projecao da Populacao 2024, table 2, five-year age groups",http[local file not redistributed],2026-08-23,[local file not redistributed],1030533,57f997f1ee003fb1138b1016805d0b5dc452f15073b875ef4e6ab0943023a1bb,1030533,57f997f1ee003fb1138b1016805d0b5dc452f15073b875ef4e6ab0943023a1bb,True
WHO_2000_2025_STANDARD,US National Cancer Institute SEER (reproducing adjusted WHO standard),"World WHO 2000-2025 adjusted standard million, 18 age groups",http[local file not redistributed],2026-08-23,[local file not redistributed],783,f02c82c2246c56053907fad197304d38df5d066c4ee306fc4ca4fc8315a76d62,34262,987de7cb1339ec67eee8e5be2a92ebe695affd4bea2ee5c41ad3669a71c8554f,
PROVENANCE_BUILD_CODE,local reproducible audit code,v2,,2026-08-23,[local file not redistributed],34533,5b976f87e61b8e69c794ddbb608aa127ba266a010df69e73c7728ef0a3638fcd,,,
