analysis,contrast,estimate,lower,upper,se_log
primary,BR_US_RR_ucd,2.97306462323847,2.92714409974388,3.01970553985555,0.00794185856343271
primary,BR_US_RR_any_common,2.42702680822531,2.39554329587737,2.45892409374591,0.0066616946411797
primary,BR_US_RR_alternative,2.4612728728716,2.42939564053222,2.49356838123184,0.00665108433748288
primary,RRR_any_common_vs_ucd,0.816338396836335,0.809051900990997,0.823690516434166,0.00457443954235474
primary,RRR_alternative_vs_any_common,1.01411029516865,1.01324848996403,1.01497283337038,0.000433762945838283
