country,raw,resident,analytic_age_sex_resident,excluded_nonresident,excluded_missing_or_ineligible_age_sex,ucd_resident,ucd_analytic,any_common_resident,any_common_analytic,system_processed_alternative_resident,system_processed_alternative_analytic,certificate_source_mention_resident,ucd_without_source,country_specific_residence_note,flow_source,flow_source_sha256
BR,18103175,18103175,18028057,0,75118,76138,76121,130231,130198,130231,130198,129809,422,"resident equals raw because the available gate is non-empty residence fields, not an independently validated residence classifier",[local file not redistributed],df4baeb5f020eb7a025d02aab7c5a25e570e55db0cd91b238ca30d4ec75ab4cf
US,38111858,38022561,38020975,89297,1586,70670,70668,141452,141449,139617,139614,141447,5,resident status uses the NCHS resident indicator,[local file not redistributed],df4baeb5f020eb7a025d02aab7c5a25e570e55db0cd91b238ca30d4ec75ab4cf
