country,year,age_group,sex,any_common_mentions,unique_records,records_with_multiple_subcodes
US,2017,45-49,M,102,98,4
US,2017,80-84,F,724,668,52
US,2017,50-54,F,170,162,7
US,2017,60-64,M,407,390,16
US,2017,75-79,M,740,685,51
US,2017,80-84,M,799,735,62
US,2017,65-69,F,448,427,20
US,2017,30-34,M,30,29,1
US,2017,70-74,F,532,491,41
US,2017,20-24,F,14,11,2
US,2017,35-39,F,35,32,3
US,2017,75-79,F,617,573,42
US,2017,10-14,M,0,0,0
US,2017,30-34,F,27,26,1
US,2017,25-29,F,12,12,0
US,2017,50-54,M,195,185,10
US,2017,15-19,M,4,4,0
US,2017,60-64,F,351,328,22
US,2017,55-59,F,205,196,9
US,2017,20-24,M,9,7,1
US,2017,40-44,M,56,55,1
US,2017,45-49,F,70,67,3
US,2017,25-29,M,13,13,0
US,2017,0-4,F,19,19,0
US,2017,40-44,F,44,43,1
US,2017,0-4,M,10,10,0
US,2017,35-39,M,39,37,1
US,2017,5-9,M,0,0,0
US,2017,15-19,F,3,3,0
US,2017,10-14,F,2,2,0
US,2017,5-9,F,2,2,0
US,2018,45-49,F,80,75,4
US,2018,25-29,M,13,12,1
US,2018,85+,M,1423,1297,120
US,2018,30-34,F,22,22,0
US,2018,80-84,M,850,781,65
US,2018,85+,F,2248,2023,211
US,2018,60-64,F,325,315,9
US,2018,65-69,F,479,447,31
US,2018,35-39,F,43,41,2
US,2018,75-79,F,602,564,36
US,2018,70-74,F,585,548,35
US,2018,45-49,M,95,92,2
US,2018,75-79,M,739,690,48
US,2018,35-39,M,42,41,1
US,2018,65-69,M,565,531,33
US,2018,40-44,M,65,61,4
US,2018,60-64,M,439,417,21
US,2018,70-74,M,700,666,32
US,2018,55-59,M,329,309,18
US,2018,80-84,F,767,705,56
US,2018,55-59,F,257,238,17
US,2018,50-54,M,200,186,13
US,2018,25-29,F,8,8,0
US,2018,0-4,F,4,4,0
US,2018,30-34,M,22,20,2
US,2018,15-19,F,5,4,1
US,2018,20-24,M,6,5,1
US,2018,5-9,M,0,0,0
US,2018,40-44,F,65,59,6
US,2018,0-4,M,17,17,0
US,2018,50-54,F,147,137,10
US,2018,15-19,M,3,3,0
US,2018,20-24,F,13,10,3
US,2018,10-14,M,2,2,0
US,2018,5-9,F,0,0,0
US,2018,10-14,F,3,3,0
US,2019,35-39,M,53,49,4
US,2019,60-64,F,340,323,15
US,2019,85+,F,2279,2042,226
US,2019,75-79,M,820,765,52
US,2019,60-64,M,479,455,23
US,2019,70-74,M,742,684,55
US,2019,85+,M,1503,1346,147
US,2019,80-84,M,854,783,69
US,2019,0-4,M,8,8,0
US,2019,65-69,F,410,389,19
