country,year,age_group,sex,any_common_mentions,unique_records,records_with_multiple_subcodes
BR,2020,35-39,F,119,108,11
BR,2020,30-34,F,70,64,6
BR,2020,15-19,F,13,11,2
BR,2020,40-44,F,162,150,11
BR,2020,5-9,M,0,0,0
BR,2020,20-24,M,14,13,1
BR,2020,25-29,M,28,26,2
BR,2020,15-19,M,6,6,0
BR,2020,5-9,F,2,2,0
BR,2020,35-39,M,72,67,5
BR,2020,60-64,F,571,526,43
BR,2020,25-29,F,41,38,3
BR,2020,10-14,M,1,1,0
BR,2020,20-24,F,39,32,6
BR,2021,55-59,M,380,362,18
BR,2021,50-54,M,297,274,21
BR,2021,60-64,F,513,478,35
BR,2021,20-24,M,20,20,0
BR,2021,0-4,M,18,18,0
BR,2021,75-79,M,658,605,50
BR,2021,85+,M,763,692,70
BR,2021,65-69,F,685,625,59
BR,2021,60-64,M,534,486,45
BR,2021,80-84,F,853,757,93
BR,2021,80-84,M,577,531,42
BR,2021,45-49,M,191,174,16
BR,2021,85+,F,1501,1322,174
BR,2021,55-59,F,445,413,30
BR,2021,75-79,F,785,703,81
BR,2021,70-74,F,790,705,83
BR,2021,30-34,M,54,52,2
BR,2021,25-29,M,36,34,2
BR,2021,70-74,M,673,625,48
BR,2021,40-44,M,135,127,8
BR,2021,15-19,F,8,8,0
BR,2021,40-44,F,171,160,11
BR,2021,65-69,M,662,616,46
BR,2021,50-54,F,294,267,27
BR,2021,45-49,F,236,218,18
BR,2021,35-39,F,120,113,7
BR,2021,10-14,M,6,6,0
BR,2021,35-39,M,105,96,8
BR,2021,0-4,F,19,19,0
BR,2021,30-34,F,81,76,5
BR,2021,25-29,F,76,69,7
BR,2021,15-19,M,9,8,1
BR,2021,10-14,F,3,3,0
BR,2021,5-9,F,2,2,0
BR,2021,20-24,F,27,26,1
BR,2021,5-9,M,3,2,1
BR,2022,85+,F,1609,1427,175
BR,2022,70-74,F,819,743,71
BR,2022,65-69,M,655,606,49
BR,2022,80-84,M,642,588,53
BR,2022,65-69,F,750,698,50
BR,2022,85+,M,793,706,86
BR,2022,60-64,F,571,525,45
BR,2022,75-79,M,742,671,70
BR,2022,55-59,M,428,399,29
BR,2022,45-49,F,240,218,22
BR,2022,50-54,F,339,313,26
BR,2022,60-64,M,573,535,38
BR,2022,0-4,M,29,29,0
BR,2022,75-79,F,866,783,83
BR,2022,50-54,M,294,280,14
BR,2022,70-74,M,779,721,57
BR,2022,45-49,M,204,196,8
BR,2022,80-84,F,903,799,101
BR,2022,25-29,M,35,32,3
BR,2022,35-39,M,98,88,10
BR,2022,55-59,F,449,419,28
BR,2022,40-44,M,155,143,12
BR,2022,35-39,F,151,134,15
BR,2022,10-14,F,9,7,2
BR,2022,0-4,F,26,26,0
BR,2022,30-34,M,63,59,4
BR,2022,20-24,M,15,15,0
BR,2022,15-19,M,7,7,0
BR,2022,30-34,F,85,81,4
BR,2022,5-9,M,0,0,0
BR,2022,40-44,F,178,164,12
BR,2022,25-29,F,40,35,5
BR,2022,15-19,F,12,11,1
BR,2022,10-14,M,3,3,0
BR,2022,20-24,F,29,26,3
BR,2022,5-9,F,2,2,0
BR,2023,65-69,M,781,720,59
BR,2023,70-74,F,935,846,84
BR,2023,75-79,F,878,797,81
BR,2023,45-49,F,283,257,24
BR,2023,75-79,M,809,737,70
BR,2023,85+,M,871,784,84
BR,2023,35-39,F,126,113,11
BR,2023,85+,F,1638,1458,178
BR,2023,40-44,F,203,190,13
BR,2023,80-84,M,687,625,62
BR,2023,55-59,F,551,492,55
BR,2023,50-54,M,311,289,20
BR,2023,65-69,F,791,736,53
BR,2023,45-49,M,186,174,12
BR,2023,50-54,F,378,353,24
BR,2023,60-64,M,601,565,36
BR,2023,80-84,F,934,846,87
BR,2023,5-9,M,3,3,0
BR,2023,40-44,M,149,140,8
BR,2023,0-4,M,30,30,0
BR,2023,30-34,M,51,50,1
BR,2023,20-24,M,25,21,4
BR,2023,55-59,M,426,392,33
BR,2023,60-64,F,678,626,50
BR,2023,15-19,F,18,17,1
BR,2023,15-19,M,16,15,1
BR,2023,70-74,M,826,753,70
BR,2023,35-39,M,85,83,2
BR,2023,30-34,F,70,63,6
BR,2023,25-29,F,72,62,9
BR,2023,25-29,M,38,35,3
BR,2023,0-4,F,28,27,1
BR,2023,20-24,F,29,28,1
BR,2023,10-14,F,6,6,0
BR,2023,10-14,M,3,3,0
BR,2023,5-9,F,3,3,0
BR,2024,75-79,M,881,807,72
BR,2024,85+,F,1793,1566,223
BR,2024,80-84,F,1055,942,109
BR,2024,70-74,F,905,841,63
BR,2024,45-49,M,218,206,12
BR,2024,30-34,M,64,58,6
BR,2024,60-64,M,634,581,49
BR,2024,80-84,M,688,633,54
BR,2024,15-19,F,10,10,0
BR,2024,75-79,F,974,895,77
BR,2024,55-59,F,506,477,29
BR,2024,40-44,M,146,134,12
BR,2024,60-64,F,667,616,51
BR,2024,70-74,M,868,800,66
BR,2024,65-69,M,764,715,47
BR,2024,40-44,F,180,168,12
BR,2024,0-4,F,29,29,0
BR,2024,85+,M,863,779,80
BR,2024,65-69,F,849,788,60
BR,2024,35-39,M,94,84,10
BR,2024,55-59,M,519,472,46
BR,2024,50-54,F,379,335,42
BR,2024,25-29,M,36,36,0
BR,2024,50-54,M,324,298,25
BR,2024,35-39,F,134,122,12
BR,2024,20-24,M,23,22,1
BR,2024,45-49,F,300,277,21
BR,2024,15-19,M,9,8,1
BR,2024,0-4,M,22,22,0
BR,2024,30-34,F,70,66,4
BR,2024,10-14,M,6,6,0
BR,2024,20-24,F,33,31,2
BR,2024,5-9,F,3,3,0
BR,2024,10-14,F,6,6,0
BR,2024,25-29,F,44,39,5
BR,2024,5-9,M,1,1,0
